title,author,id
他乡七夕,孟浩然
送人之军,贺知章
春有情篇,刘禹锡
还京赠别,卢照邻
忆杨十二,元稹
秋江送客,白居易
残暑招客,白居易
池上早秋,白居易
忆齐安郡,杜牧
经阖闾城,杜牧
秋夕有怀,杜牧
赠李金州,贾岛
湘宫人歌,温庭筠
早秋山居,温庭筠
送人南游,温庭筠
游栖霞寺,皮日休
九江早秋,罗隐
长安冬日,杜荀鹤
经贾岛墓,杜荀鹤
酬张少府,王维
过始皇墓,王维
驾出长安,王昌龄
赠孟浩然,李白
寄王汉阳,李白
谒老君庙,李白
江行寄远,李白
宿巫山下,李白
首秋轮台,岑参
轮台即事,岑参
秋怀诗十一首 九,韩愈
燕子楼三首 一,白居易
题李士曹厅壁画度雨云歌,岑参
春水生二绝 一,杜甫
浪淘沙九首 一,刘禹锡
思竹窗,白居易
重阳席上赋白菊,白居易
夜调琴忆崔少卿,白居易
府酒五绝 招客,白居易
横江词六首 六,李白
杂曲歌辞 三台二首 二,韦应物
铜雀妓,高适
隄上行三首 二,刘禹锡
竹枝词九首 六,刘禹锡
竹枝词九首 七,刘禹锡
浪淘沙九首 二,刘禹锡
浪淘沙九首 五,刘禹锡
有所嗟二首 二,刘禹锡
荅杨八敬之绝句,刘禹锡
南园十三首 六,李贺
南园十三首 九,李贺
刘阮妻二首 二,元稹
送幼史,白居易
蓝桥驿见元九诗,白居易
竹枝词四首 三,白居易
哭微之二首 一,白居易
寄题宣州开元寺,杜牧
宣州开元寺南楼,杜牧
杂体诗 夜会问荅十 六,皮日休
杂体诗 夜会问荅十 九,皮日休
秋江雨夜逢诗友,杜荀鹤
梦扬州乐妓和诗,刘禹锡
陇西行,王维
从军行七首 六,王昌龄
采莲曲二首 二,王昌龄
李四仓曹宅夜饮,王昌龄
横江词六首 二,李白
横江词六首 三,李白
横江词六首 五,李白
寒食寄京师诸弟,韦应物
龙女祠,岑参
春兴戏题赠李侯,岑参
游子,孟郊
喜雨,孟郊
雨后,元稹
桃花,元稹
夜雨,白居易
夜雪,白居易
折菊,杜牧
忆梅,李商隐
对菊,贾岛
客愁,温庭筠
相思,王维
宿关西客舍寄东山严许二山人时天宝初七月初三日在内学见有高道举征,岑参
送别,王之涣
咏镜,骆宾王
闲居,高适
阙题,杜甫
庭竹,刘禹锡
醉行,元稹
自悲,白居易
细雨,李商隐
歌舞,李商隐
夜兴,王勃
绝句,贾岛
补周礼九夏系文   一,皮日休
补周礼九夏系文   二,皮日休
补周礼九夏系文   三,皮日休
留别,王昌龄
咏雪（句）,李商隐
送别,王维
书事,王维
春晓,孟浩然
自遣,李白
答宾,韦应物
池上,韦应物
闻鴈,韦应物
九日,韦应物
感遇诗三十八首 二十九,陈子昂
同张二咏雁,骆宾王
相和歌辞 采莲曲,贺知章
郴口又赠二首 二,韩愈
杂诗四首 一,韩愈
鸣雁,韩愈
秋日送尹大赴京,骆宾王
初秋于窦六郎宅宴,骆宾王
夜送赵纵,杨炯
春夜别友人二首 二,陈子昂
幽兰之歌,杨炯
题袁氏别业,贺知章
方城 五,柳宗元
早行,杨炯
感遇诗三十八首 二十四,陈子昂
棹歌行,骆宾王
法华寺西亭夜饮,柳宗元
古意题徐令壁,陈子昂
登柳州城楼寄漳汀封连四州,柳宗元
在军中赠先还知己,骆宾王
喜遇冀侍御珪崔司议泰之二使,陈子昂
赠江华长老,柳宗元
送吴七游蜀,骆宾王
雨后晓行独至愚溪北池,柳宗元
途中,杨炯
送刘校书从军,杨炯
和崔司空伤姬人,杨炯
赠别冀侍御崔司议,陈子昂
送客,陈子昂
咏柳,贺知章
零陵春望,柳宗元
夏昼偶作,柳宗元
李西川荐琴石,柳宗元
湘岸移木芙蓉植龙兴精舍,柳宗元
回乡偶书二首 二,贺知章
春江花月夜,张若虚
相和歌辞 春江花月夜,张若虚
春兴,贺知章
奉和圣制送张说巡边,贺知章
宴词,王之涣
代答闺梦还,张若虚
望人家桃李花,贺知章
凉州词二首” 二,王之涣
太和,贺知章
登鹳雀楼,王之涣
